state,district,population,phcs,population_per_phc,stress_score,stress_category
uttarakhand,66,954605,257,3714.4163424124513,0.1086463781804875,Low Stress
uttarakhand,67,1648902,257,6415.961089494163,0.18910884607980413,Low Stress
uttarakhand,68,1890422,257,7355.727626459144,0.2170987340485595,Low Stress
haryana,0,25351462,452,56087.30530973451,1.668513895414754,Low Stress
haryana,69,561293,452,1241.7986725663716,0.03500224546634755,Low Stress
haryana,70,1128350,452,2496.349557522124,0.07236763074003381,Low Stress
haryana,71,1214205,452,2686.2942477876104,0.07802491943001089,Low Stress
haryana,72,964655,452,2134.1924778761063,0.06158118997239304,Low Stress
haryana,73,1074304,452,2376.778761061947,0.06880634922423973,Low Stress
haryana,74,1505324,452,3330.362831858407,0.09720777687730502,Low Stress
haryana,75,1205437,452,2666.896017699115,0.07744716499248577,Low Stress
haryana,76,1450001,452,3207.966814159292,0.09356234932858215,Low Stress
haryana,77,1334152,452,2951.663716814159,0.0859286502144344,Low Stress
haryana,78,942011,452,2084.0951327433627,0.06008909696562767,Low Stress
haryana,79,1295189,452,2865.462389380531,0.08336124075397693,Low Stress
haryana,80,1743931,452,3858.254424778761,0.11293043347796149,Low Stress
haryana,81,1634445,452,3616.028761061947,0.10571601487088177,Low Stress
haryana,82,1061204,452,2347.7964601769913,0.06794314403131328,Low Stress
haryana,83,958405,452,2120.3650442477874,0.061169355433783094,Low Stress
haryana,84,922088,452,2040.0176991150443,0.058776300243591525,Low Stress
haryana,85,900332,452,1991.8849557522124,0.057342720688071856,Low Stress
haryana,86,1514432,452,3350.5132743362833,0.09780793511373052,Low Stress
haryana,87,1089263,452,2409.8738938053098,0.06979205048233031,Low Stress
haryana,88,1809733,452,4003.8340707964603,0.11726635928749934,Low Stress
haryana,89,1042708,452,2306.8761061946902,0.06672437737113256,Low Stress
delhi,0,16787941,5,3357588.2,100.0,High Stress
delhi,90,3656539,5,731307.8,21.779195918233345,Low Stress
delhi,91,887978,5,177595.6,5.287501614044046,Low Stress
delhi,92,2241624,5,448324.8,13.35086594955575,Low Stress
delhi,93,1709346,5,341869.2,10.180205790417025,Low Stress
delhi,94,142004,5,28400.8,0.8439025144131157,Low Stress
delhi,95,582320,5,116464.0,3.4667657524791777,Low Stress
delhi,96,2543243,5,508648.6,15.14754239783891,Low Stress
delhi,97,2292958,5,458591.6,13.656651025416913,Low Stress
delhi,98,2731929,5,546385.8,16.271502401422097,Low Stress
rajasthan,0,68548437,1610,42576.66894409938,1.2661148065069827,Low Stress
rajasthan,99,1969168,1610,1223.0857142857142,0.0344449010778879,Low Stress
rajasthan,100,1774692,1610,1102.2931677018635,0.03084723111055575,Low Stress
rajasthan,101,2363937,1610,1468.283850931677,0.041747851443659244,Low Stress
rajasthan,102,2039547,1610,1266.7993788819876,0.035746863348969524,Low Stress
rajasthan,103,2137045,1610,1327.357142857143,0.037550508150770004,Low Stress
rajasthan,104,3674179,1610,2282.0987577639753,0.06598641195157391,Low Stress
rajasthan,105,2548462,1610,1582.895652173913,0.045161434871547335,Low Stress
rajasthan,106,1206516,1610,749.3888198757764,0.020336372540043637,Low Stress
rajasthan,107,1458248,1610,905.744099378882,0.024993238457773622,Low Stress
rajasthan,108,1335551,1610,829.5347826086957,0.022723429782246805,Low Stress
rajasthan,109,1634409,1610,1015.1608695652174,0.028252093736138045,Low Stress
rajasthan,110,6626178,1610,4115.63850931677,0.12059632857827617,Low Stress
rajasthan,111,2677333,1610,1662.939751552795,0.04754545822846574,Low Stress
rajasthan,112,3307743,1610,2054.498757763975,0.059207602267348995,Low Stress
rajasthan,113,3687165,1610,2290.164596273292,0.06622664386808688,Low Stress
rajasthan,114,669919,1610,416.09875776397513,0.010409703380555926,Low Stress
rajasthan,115,2603751,1610,1617.2366459627328,0.04618424269782835,Low Stress
rajasthan,116,1828730,1610,1135.857142857143,0.031846896311890076,Low Stress
rajasthan,117,1036346,1610,643.6931677018633,0.01718834657107619,Low Stress
rajasthan,118,2037573,1610,1265.5732919254658,0.035710345729749085,Low Stress
rajasthan,119,2583052,1610,1604.3801242236025,0.045801325676428244,Low Stress
rajasthan,120,1421326,1610,882.8111801242236,0.024310207284087216,Low Stress
rajasthan,121,1110906,1610,690.0037267080745,0.018567654417619133,Low Stress
rajasthan,122,2408523,1610,1495.9770186335404,0.042572661256507466,Low Stress
rajasthan,123,1156597,1610,718.3832298136646,0.019412905957538574,Low Stress
rajasthan,124,1388552,1610,862.4546583850931,0.02370391120894507,Low Stress
rajasthan,125,1797485,1610,1116.4503105590063,0.03126888566723833,Low Stress
rajasthan,126,1544338,1610,959.216149068323,0.02658584323927687,Low Stress
rajasthan,127,1951014,1610,1211.8099378881986,0.0341090647763034,Low Stress
rajasthan,128,1222755,1610,759.4751552795032,0.0206367826811382,Low Stress
rajasthan,129,1411129,1610,876.4776397515528,0.024121569916715994,Low Stress
rajasthan,130,3068420,1610,1905.8509316770187,0.054780294169733706,Low Stress
rajasthan,131,867848,1610,539.0360248447205,0.01407125143257307,Low Stress
uttar pradesh,0,199812341,3496,57154.559782608696,1.7003008679817657,Low Stress
uttar pradesh,132,3466382,3496,991.5280320366132,0.027548216284887538,Low Stress
uttar pradesh,133,4143512,3496,1185.2151029748284,0.033316967568653495,Low Stress
uttar pradesh,134,3682713,3496,1053.4076086956522,0.029391229788894708,Low Stress
uttar pradesh,135,4772006,3496,1364.9902745995423,0.03867136859849887,Low Stress
uttar pradesh,136,2335819,3496,668.1404462242563,0.017916481230129535,Low Stress
uttar pradesh,137,1840221,3496,526.379004576659,0.013694276337816625,Low Stress
uttar pradesh,138,3443689,3496,985.0368993135012,0.02735488520683384,Low Stress
uttar pradesh,139,1303048,3496,372.7254004576659,0.009117876778862796,Low Stress
uttar pradesh,140,4681645,3496,1339.1433066361556,0.037901545765730606,Low Stress
uttar pradesh,141,1648115,3496,471.4287757437071,0.012057645655201558,Low Stress
uttar pradesh,142,3499171,3496,1000.9070366132723,0.027827559373871047,Low Stress
uttar pradesh,143,3673889,3496,1050.8835812356979,0.02931605447347824,Low Stress
uttar pradesh,144,1564708,3496,447.57093821510296,0.01134706683233879,Low Stress
uttar pradesh,145,2547184,3496,728.5995423340961,0.019717187320678158,Low Stress
uttar pradesh,146,4418797,3496,1263.9579519450801,0.035662234647577055,Low Stress
uttar pradesh,147,2498156,3496,714.5755148741418,0.019299497456190574,Low Stress
uttar pradesh,148,1868529,3496,534.4762585812357,0.013935443929476791,Low Stress
uttar pradesh,149,3681896,3496,1053.1739130434783,0.029384269427075203,Low Stress
uttar pradesh,150,4448359,3496,1272.4139016018307,0.035914085585285756,Low Stress
uttar pradesh,151,2031007,3496,580.9516590389017,0.015319661393012192,Low Stress
uttar pradesh,152,3006538,3496,859.9937070938215,0.02363061454617847,Low Stress
uttar pradesh,153,4021243,3496,1150.241132723112,0.03227530725126277,Low Stress
uttar pradesh,154,4483992,3496,1282.6064073226544,0.036217657889709466,Low Stress
uttar pradesh,155,4092845,3496,1170.7222540045766,0.03288531438345336,Low Stress
uttar pradesh,156,3108367,3496,889.120995423341,0.024498138026861065,Low Stress
uttar pradesh,157,4589838,3496,1312.8827231121281,0.03711940385928915,Low Stress
uttar pradesh,158,3405559,3496,974.1301487414188,0.02703003992387489,Low Stress
uttar pradesh,159,1885204,3496,539.245995423341,0.014077505169795194,Low Stress
uttar pradesh,160,1656616,3496,473.8604118993135,0.012130069199666128,Low Stress
uttar pradesh,161,1581810,3496,452.4628146453089,0.011492765862739104,Low Stress
uttar pradesh,162,1379545,3496,394.6066933638444,0.009769586446067386,Low Stress
uttar pradesh,163,1796184,3496,513.7826086956521,0.013319106872155378,Low Stress
uttar pradesh,164,4581268,3496,1310.4313501144165,0.03704639247520947,Low Stress
uttar pradesh,165,1689974,3496,483.4021739130435,0.01241425983562062,Low Stress
uttar pradesh,166,1998603,3496,571.6827803203661,0.015043598278692704,Low Stress
uttar pradesh,167,1221592,3496,349.42562929061785,0.008423919334102649,Low Stress
uttar pradesh,168,1104285,3496,315.87099542334096,0.00742453235251162,Low Stress
uttar pradesh,169,875958,3496,250.56006864988558,0.005479319949622323,Low Stress
uttar pradesh,170,1799410,3496,514.7053775743707,0.013346590504015479,Low Stress
uttar pradesh,171,991730,3496,283.67562929061785,0.0064656296296308185,Low Stress
uttar pradesh,172,2632733,3496,753.0700800915332,0.020446014729853496,Low Stress
uttar pradesh,173,3209141,3496,917.9465102974829,0.02535667352502276,Low Stress
uttar pradesh,174,1599596,3496,457.5503432494279,0.011644292172802254,Low Stress
uttar pradesh,175,5954391,3496,1703.2010869565217,0.048744596762449084,Low Stress
uttar pradesh,176,3260699,3496,932.6942219679634,0.025795917508731066,Low Stress
uttar pradesh,177,2470996,3496,706.8066361556064,0.0190681101526195,Low Stress
uttar pradesh,178,2397888,3496,685.8947368421053,0.018445272781873023,Low Stress
